row_id,year,tailing_id,tsf_name,related_mine,main_owner,full_ownership,operator,longitude,latitude,status,construction_year,raise_type,current_maximum_height,current_tailings_storage,planned_storage_5_years,hazard_categorization,classification_system,link,source,source_df,geometry
TAIL-66e68b05-2019-1,2019,NU-TAIL-ce1b28f4,North Cell,Meadowbank,Agnico Eagle,,Agnico Eagle,-96.043328,65.021558,Active,2009.0,"Downstream, Upstream",31.0,14400000,14400000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-96.043328 65.021558)
TAIL-dbf8c6b3-2019-1,2019,NU-TAIL-46b364c0,South Cell,Meadowbank,Agnico Eagle,,Agnico Eagle,-96.033391,65.013782,Active,2012.0,Downstream,49.0,10420000,10800000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-96.033391 65.013782)
TAIL-2d8793d8-2019-1,2019,NU-TAIL-6612fa3a,In pit,Meadowbank,Agnico Eagle,,Agnico Eagle,-96.032544,65.001901,Active,2009.0,,,850000,12500000,Low,,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-96.032544 65.001901)
TAIL-daa8a00b-2019-1,2019,NU-TAIL-f33b3dac,Meliadine TSF,Meliadine,Agnico Eagle,,Agnico Eagle,-92.140336,63.020829,Active,2019.0,,5.0,89000,4354000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-92.140336 63.020829)
TAIL-096532be-2019-1,2019,QC-TAIL-bb8684fa,South TSF,Goldex,Agnico Eagle,,Agnico Eagle,-77.841978,48.054342,Active,2007.0,Not Raised,5.0,1664000,2500000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-77.841978 48.054342)
TAIL-d6a6e1c9-2019-1,2019,QC-TAIL-debb4159,Canadian Malartic TSF,Canadian Malartic,Parternship Canadian Malartic,,Parternship Canadian Malartic,-78.091518,48.112562,Active,1991.0,Upstream,42.0,96000000,136500000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-78.091518 48.112562)
TAIL-6860f260-2019-1,2019,QC-TAIL-283d8e72,Principal TSF,Laronde,Agnico Eagle,,Agnico Eagle,-78.417616,48.257872,Active,1988.0,Upstream,30.0,29923000,32650000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-78.417616 48.257872)
TAIL-3c1eec94-2019-1,2019,QC-TAIL-7b82af08,Extension A4,Laronde,Agnico Eagle,,Agnico Eagle,-78.400641,48.254847,Active,2010.0,Not Raised,18.0,1500000,3400000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-78.400641 48.254847)
TAIL-236d736b-2019-1,2019,QC-TAIL-549825c1,TMF North,Joutel,Agnico Eagle,,Agnico Eagle,-78.22401,49.293567,Inactive,1974.0,Downstream,9.0,4500000,4500000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-78.22401 49.293567)
TAIL-2b3ad8b5-2019-1,2019,QC-TAIL-a7ada063,TMF South,Joutel,Agnico Eagle,,Agnico Eagle,-78.224038,49.291356,Inactive,1986.0,Downstream,6.0,2200000,2200000,Medium,Canadian Dam Association,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (-78.224038 49.291356)
